Company,Title,Category,Location,Responsibilities,Minimum Qualifications,Preferred Qualifications
Google,Software Engineer (English),Software Engineering,"MG, Brazil","Research, conceive and develop software applications to extend and improve on Google's product offering.
Contribute to a wide variety of projects utilizing natural language processing, artificial intelligence, data compression, machine learning and search technologies.
Collaborate on scalability issues involving access to massive amounts of data and information.
Solve all problems that come your way.","BA/BS degree in Computer Science or related technical field, or equivalent practical experience.
Experience in writing code fixes and tools to solve problems in C, C++, C#, Java, JavaScript, Go or Python (e.g., removing duplicate elements from a list) and experience in optimizing code for stability, functionality and scalability (e.g., crawling, search, troubleshooting).
Experience with data structures, branching, function-calls, and conditionals as well as debugging code and submitting the appropriate fix; Experience or previous project assignments with Data Structures and Algorithms (i.e. selecting and implementing an algorithm, using data structures to solve a problem.).
Ability to speak and write in English fluently and idiomatically.","MS or PhD in Computer Science or related technical field.
Previous tech internships or relevant work experience programming in C, C++, C#, Java, JavaScript, Go or Python.
Experience developing thorough testing solutions across testing layers (e.g., unit, functional, integration, stress testing) for your code, using one or more of the following: C, C++, C#, Java, JavaScript, Go, or Python.
Experience manipulating code to improve system availability and latency.
Experience with improving inventing or proving the value of new algorithms that improve a product's capabilities, speed, efficiency and reliability."
Google,Software Engineer (English),Software Engineering,"MG, Brazil","Design, develop, test, deploy, maintain and improve software.
Manage individual project priorities, deadlines and deliverables.","BS degree in Computer Science, similar technical field of study or equivalent practical experience.
1 year of experience in Software Engineering and coding, working with two or more of the following languages: Java, C/C++, C#, Objective-C, Python, JavaScript, PHP, Ruby and/or Go.
Experience working with two or more from the following: web application development, Unix/Linux environments, mobile application development, distributed and parallel systems, machine learning, information retrieval, natural language processing, networking, developing large software systems, and/or security software development.
Ability to speak and write in English fluently and idiomatically.","Masterâ€™s degree or PhD in Engineering, Computer Science or other technical related field.
4 years of relevant work experience in software development.
Interest and ability to learn other coding languages as needed."
Google,"Software Engineer Manager, Tools and Infrastructure",Software Engineering,"London, United Kingdom","Build and manage an engineering productivity team focused on improving testability of the Googleâ€™s diverse project areas and platforms.
Create the next generation developer infrastructure for Google, focusing on developer experience, integration and scalability.
Define team strategy and roadmap, and drive adoption of test infrastructure across several product areas.
Manage the development of engineers on your teams through project and task assignment, individual coaching and identifying relevant training classes.
Provide knowledge in the application of Machine Learning to engineering productivity challenges, driving the creation of innovative tools with Google-wide impact.","BA/BS degree in Computer Science or other related field, or equivalent practical experience.
Experience in one or more of the following programming languages: Java, C++ and/or Python.
Experience in engineering in a technical lead and/or managerial capacity.","Master's degree or PhD in Computer Science, Artificial Intelligence, Machine Learning or related technical field.
Experience in technical leadership and people management (managing teams of developers).
Experience managing in a test-driven development environment, and dealing with code refactoring and code bottleneck issues.
Experience in front-end, web testing infrastructure, distributed systems and architecture.
Experience in building test automation frameworks and tools for scalable serving components."
Google,"Software Engineer, Accessibility",Software Engineering,"Mountain View, CA, United States","Design, develop, test, deploy, maintain and improve software.
Write solid, maintainable, well tested client code.
Manage individual project priorities, deadlines and deliverables.","BA/BS degree in computer science, related technical field or equivalent practical experience.
Programming experience in one or more of the following languages: C, C++, Java and/or Python.
Experience with assistive technologies such as screen readers, scanning interfaces or assistive listening devices.","Master's or PhD in Computer Science or related technical field.
1-year of relevant work experience, including experience with UNIX/Linux or Windows environments, distributed systems, machine learning, information retrieval and TCP/IP.
Experience with and a passion for user-interface design."
Google,"Software Engineer, Android Applications, Verily Life Sciences - Cambridge",Software Engineering,"Cambridge, MA, United States",,,
Google,"Software Engineer, Android Applications, Verily Life Sciences - South San Francisco",Software Engineering,"South San Francisco, CA, United States",,,
Google,"Software Engineer, Image Processing, Consumer Hardware",Software Engineering,"Xinyi District, Taiwan","Work with Android Camera team, develop cutting-edge image processing algorithms in C++
Design, implement and optimize algorithms turning them into low-power custom hardware using high-level synthesis","MS degree in computer science, electrical engineering, computer engineering or equivalent practical experience.
5 years of experience in image processing or computer vision.
Experience in low-level C/C++ design suitable for hardware implementations.","Experience with Python, Verilog, Bash.
Experience in high-level synthesis design methodologies (e.g. Vivado, Catapult or Stratus).
Experience with the digital design flow (RTL design, verification, physical design, power optimization).
Knowledge of hardware design paradigms either through modelling hardware accelerators in C/C++/SystemC, or designing them in Verilog or VHDL.
Interest in consumer cameras and photography."
Google,"Software Engineer, Performance Modeling",Software Engineering,"Xinyi District, Taiwan","Develop simulation models at different abstraction levels (Cycle Accurate/TLM/Functional).
Build models for SoC components like processors, video codec, machine learning accelerator, memory subsystem, bus interconnect, and other peripherals.
Perform system level modeling for SoC architecture and performance exploration and analysis.","Master's degree in Computer Science or Electrical Engineering or equivalent practical experience
3 years of working experience
C and C++ programming experience.
Experience with algorithms and data structures.","Familiarity with computer architecture, especially ARM SoC architecture and AMBA protocols
Experience in SystemC or RTL
Experience in IP modeling and hardware/software co-design"
Google,"Software Engineer, Tools and Infrastructure",Software Engineering,"Sydney, Australia","Lead/contribute to engineering efforts from planning and organization to execution and delivery to solve complex engineering problems in tools and testing.
Design and build advanced automated testing frameworks.
Design and build tooling and infrastructure to help Engineering teams measure and increase their velocity.
Drive adoption of best practices in code health, testing, and maintainability.
Analyze and decompose complex software systems and collaborate with and influence others to improve the overall design.","BS degree in Computer Science or related technical field or equivalent practical experience.
3 years of relevant work experience, including development and/or test automation experience.","Master's or PhD in Computer Science or related technical field.
Experience with one or more general purpose programming languages including but not limited to: C/C++, C#, Python, JavaScript, Go, Objective-C, Swift.
Deep knowledge of internet technologies.
Good scripting skills in one common language (Perl, Python, Shell).
Extensive knowledge of UNIX/Linux environments."
Google,"Software Engineer, Verily Life Sciences - South San Francisco",Software Engineering,"South San Francisco, CA, United States",,,
Google,"Software Engineer, Virtual Prototyping",Software Engineering,"Xinyi District, Taiwan","Develop simulation models for SoC components like processors, video codec, machine learning accelerator, and other peripherals
Build pre-silicon virtual prototyping system for early software development
Interface virtual prototyping system with emulation hardware to accelerate simulation
Interface virtual prototyping system with micro-architecture models for verification and performance modeling","Master's degree in Computer Science or Electrical Engineering or equivalent practical experience.
3 years of working experience
Experience with algorithms and data structures.
Programming experience in C or C++.","Experience in SystemC or RTL
Experience in instruction set simulator, dynamic binary translation, or virtualization
Experience in software-based virtual platforms or FPGA/ASIC based emulation platforms
Experience in low-level system software development like firmware, kernel, and driver
Familiarity with ARM and x86 assembly"
Google,Software Engineering Manager,Software Engineering,"Shanghai, China","Manage a team of software engineers, including task planning and code reviews
Drive technical projects and provide leadership in an innovative and fast-paced environment
Be responsible for the overall planning, execution, and success of complex technical projects
Contribute technically to projects
Work closely with product management team to ensure we're building the best products","BA/BS degree in Computer Science or related field or equivalent practical experience.
Programming experience in one of the following: Java, C++ or Python.
3 years of technical leadership and people management experience","MS or PhD in Computer Science or closely related degree.
10 years of relevant industry experience, with 5 years of hands-on technical leadership and people management experience (managing teams of 20 or more developers).
Large scale systems design experience."
